index,title,description,source,date,open_coding_topic,sentiment,sentimental_words
161,Carney plans to see Trump next week in Washington,OTTAWA - Prime Minister Mark Carney will travel to Washington next week and plans to ...,ctvnews.ca,2025-11-26T12:00:00-05:00,International,Neutral,
351,Migrants' rights groups call on Carney government to withdraw border security bill,"The federal government's border security bill is an open door to violate the rights of migrants and should be dropped, advocacy groups said on Monday on Parliam...",cbc.ca,2025-11-24T23:13:27.000000Z,National,Negative,"federal government's border security bill is an open door to violate the rights of migrants"
347,Carney to announce aid measures for aluminum and steel producers,Prime Minister Mark Carney will announce new aid measures Wednesday aimed at helping Canada's aluminum and steel producers.,cbc.ca,2025-11-26T04:00:43.000000Z,National,Positive,"Carney will announce new aid measures Wednesday aimed at helping"
323,Canada Votes,We explain what’s at stake in today’s election.,nytimes.com,2025-04-28T10:50:09Z,Election,Neutral,
129,Carney is cutting the luxury tax. What else is getting axed in Budget 2025? - National,Other measures include a 'super-reduction' to Canada's marginal effective tax rate and further automating traveller screening at the nation's airports.,globalnews.ca,2025-11-04T23:31:17.000000Z,National,Negative,"Carney is cutting the luxury tax. What else is getting axed"
237,CTV National News: Alberta Premier Smith embraces PM Carney’s new nation-building investment,,ctvnews.ca,2025-11-13T12:00:00-05:00,National,Positive,"embraces,nation-building"
59,'Poor choice of words': Carney backtracks comment on Trump,"Prime Minister Mark Carney backtracked on the comment he made over his last discussion with Trump, saying it was a 'poor choice of words.'",citynews.ca,2025-11-26T10:45:00-05:00,International,Negative,"Carney backtracks comment"
42,MPs weigh in on Mark Carney’s comments on Canada’s feminist foreign policy,Liberal MP Karina Gould and NDP MP Leah Gazan respond to Prime Minister Mark Carney's comment that Canada no longer has a feminist foreign pol…,thestar.com,2025-11-24T17:16:00-05:00,National,Neutral,
120,"Carney meets with N.B. premier, province expects to be on nation-building projects list - New Brunswick",Prime Minister Mark Carney travelled to New Brunswick and met with Premier Susan Holt for the first time since taking office.,globalnews.ca,2025-11-10T21:16:43.000000Z,National,Neutral,
104,Carney says U.S. peace plan for Ukraine needs ‘more work’; expert calls it a ‘disaster’ - National,"Ukraine peace talks take centre stage at the G20 Summit in Johannesburg, with the United States, Russia and China notably absent from the summit.",globalnews.ca,2025-11-22T17:25:57.000000Z,International,Neutral,
146,‘He should care’: Conservatives slam Carney on Trump comments,OTTAWA — Conservative MPs slammed Prime Minister Mark Carney Monday over dismissive comments he made recently when asked about stalled ...,cp24.com,2025-11-24T19:04:41.000000Z,International,Negative,"Conservative MPs slammed Prime Minister Mark Carney Monday over dismissive comments"
204,"Carney signs UAE investment pact, launches trade talks during Abu Dhabi visit",Prime Minister Mark Carney signed an investment-protection agreement Thursday with the United Arab Emirates during ...,ctvnews.ca,2025-11-20T12:00:00-05:00,International,Neutral,
371,Liberals slammed for 'inaction' by gun control group ahead of Montreal massacre anniversary,A well-known gun control group is telling Prime Minister Mark Carney it would be,cbc.ca,2025-11-15T20:24:16.000000Z,National,Negative,"slammed for 'inaction'"
313,A New Trend in Global Elections: The Anti-Trump Bump,"In voting in Canada and Australia, right-wing parties that borrowed from the MAGA playbook were punished. Elsewhere, President Trump is having a more complex impact.",nytimes.com,2025-05-04T23:34:52Z,Election,Neutral,
251,"No Alberta-B.C. pipeline on Carney’s priorities, but Smith says talks are continuing",Premier Danielle Smith says she’s supportive of the updated list of nation-building projects announced by ...,ctvnews.ca,2025-11-13T12:00:00-05:00,National,Positive,"supportive of the updated list of nation-building projects"
455,"RBC employee charged for allegedly accessing Carney, Trudeau's banking information",The RCMP has charged an Ottawa RBC employee after he allegedly accessed Prime Minister Mark Carney and former prime minister Justin Trudeau’s banking profiles...,cbc.ca,2025-09-24T16:57:52.000000Z,National,Neutral,
336,Canada Reschedules Political Debate That Conflicted With a Hockey Game,"A big game, but still.",nytimes.com,2025-04-16T09:40:05Z,Election,Neutral,
174,'That was a poor choice of words': PM Carney on 'who cares?' comment on trade ...,,ctvnews.ca,2025-11-25T12:00:00-05:00,National,Neutral,
355,"Carney, Modi agree to launch negotiations on new Canada-India trade deal: source",Prime Minister Mark Carney and Indian Prime Minister Narendra Modi have agreed to launch negotiations toward a new trade deal called a Comprehensive Economic Pa...,cbc.ca,2025-11-23T16:13:24.000000Z,International,Neutral,
424,"Carney says legislation to toughen sentences, make bail harder to get coming next week",Prime Minister Mark Carney says his government will introduce legislation next week to crack down on crime by introducing harsher sentencing and making bail muc...,cbc.ca,2025-10-16T17:44:32.000000Z,National,Positive,"crack down on crime"
199,PM Mark Carney signs new trade pact with UAE,,ctvnews.ca,2025-11-21T12:00:00-05:00,International,Neutral,
15,Canadian Prime Minister Mark Carney says 'old relationship' with US 'is over' amid tension over Trump tariffs,Canadian leader's remarks come amid tension with Trump administration over new tariffs,foxnews.com,2025-03-09T19:19:44.000000Z,International,Neutral,
198,PM Carney ‘cannot feign ignorance’ about UAE involvement in Sudan war: human rights group,,ctvnews.ca,2025-11-21T12:00:00-05:00,International,Negative,"Carney ‘cannot feign ignorance’"
122,"Poilievre blasts Carney over budget deficit, spending in free-market speech - National","Poilievre delivered his address to a business crowd at the Economic Club of Canada, a few blocks away from the Canadian Club Toronto — where Carney was promot...",globalnews.ca,2025-11-08T00:01:41.000000Z,Election,Negative,"Poilievre blasts Carney"
456,Carney says he will meet China's president 'at appropriate time' to talk trade,"Prime Minister Mark Carney on Tuesday said he's anticipating a meeting with Chinese President Xi Jinping as the two nations work to build a new, stable trade ...",cbc.ca,2025-09-24T01:42:57.000000Z,International,Positive,"work to build a new, stable trade"
